query_id,query_text,category,priority,is_hard_case
Q0364,"Requesting price list for brass connectors, quantity around 2000 pcs.",Quotation,Medium,False
Q0365,"We are looking to procure 100 M8 hex bolts, kindly send your best quote.",Quotation,Medium,False
Q0366,"Please update me on order ORD-40021, it's been 3 days.",Order Status,Medium,False
Q0367,Can I visit your warehouse to see samples of conveyor belts?,General Enquiry,Low,False
Q0368,I am cancelling future orders unless order ORD-30730 issue is resolved.,Complaint,High,False
Q0369,What is the warranty period on solenoid valves?,General Enquiry,Low,False
Q0370,The solenoid valves stopped working within 3 days of delivery.,Complaint,Medium,False
Q0371,The solenoid valves does not match the specifications quoted earlier.,Complaint,Medium,False
Q0372,I need a quotation for 100 ball bearings (SKF 6205),Quotation,Medium,False
Q0373,What is the warranty period on cable glands?,General Enquiry,Low,False
Q0374,Do you offer discount for 20+ units of industrial gaskets?,Quotation,Low,False
Q0375,Order ORD-17592 shows dispatched but tracking is not updating.,Order Status,Medium,False
Q0376,"The servo motors I recieved is damaged, this is unacceptable.",Complaint,High,False
Q0377,"Need quotation urgently, 75 timing belts required for a tender submission.",Quotation,Low,False
Q0378,Could you provide bulk pricing if we oder 75 pressure gauges?,Quotation,Medium,False
Q0379,What would be teh cost for 500 hydraulic seals including GST?,Quotation,Medium,False
Q0380,What is the warranty period on flange couplings?,General Enquiry,Low,False
Q0381,what is the warranty period on stainless steel washers?,General Enquiry,Low,False
Q0382,"Requesting price list for servo motors, quantity around 5000 pcs.",Quotation,Medium,False
Q0383,"We received rusted pressure gauges, need immediate replacement.",Complaint,High,False
Q0384,"Extremely unhappy with the service, order ORD-10425 was delivered incomplete.",Complaint,High,False
Q0385,"Please update me on order ORD-94012, it's been 3 days.",Order Status,Medium,False
Q0386,Can I visit your warehouse to see samples of hydraulic seals?,General Enquiry,Low,False
Q0387,What is the status of my order ORD-23947?,Order Status,Medium,False
Q0388,The invoice for order ORD-46463 has incorrect GST calculation.,Complaint,Medium,False
Q0389,"Order ORD-47930 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0390,Do you provide installation support for pressure gauges?,General Enquiry,Low,False
Q0391,What is the status of my order ORD-73699?,Order Status,Medium,False
Q0392,"We are looking to procure 500 carbon brushes, kindy send your best quote.",Quotation,Medium,False
Q0393,"Terrible packaging, control relays were broken when the box was opened.",Complaint,High,False
Q0394,Can you track order ORD-42098 for me?,Order Status,Low,False
Q0395,Precision Tools Co would like a quote for 100 industrial gaskets with payment terms.,Quotation,High,False
Q0396,can you track order ORD-52504 for me?,Order Status,Low,False
Q0397,Kindly share the courier tracking number for order ORD-16006,Order Status,Low,False
Q0398,"Hi, need a formal quotation for 500 stainless steel washers for our upcoming project.",Quotation,Medium,False
Q0399,"Requesting revised quotation, last quote for brass connectors has expired.",Quotation,Medium,False
Q0400,What is the status of my order ORD-82512?,Order Status,Medium,False
Q0401,Do you export stainless steel washers outside India?,General Enquiry,Medium,False
Q0402,What is the status of my order ORD-19116?,Order Status,Medium,False
Q0403,"My order ORD-21226 has not arrived yet, please check",Order Status,Medium,False
Q0404,Can you send me a quote for 2000 units of pressure gauges?,Quotation,Medium,False
Q0405,do you have a catalogue for servo motors?,General Enquiry,Low,False
Q0406,"Terrible packaging, timing belts were broken when the box was opened",Complaint,High,False
Q0407,This is the second time we received defective stainless steel washers from you.,Complaint,High,False
Q0408,Could you provide bulk pricing if we order 20 timing belts?,Quotation,Medium,False
Q0409,Is there a minimum order quantity for hydraulic seals?,General Enquiry,Low,False
Q0410,Is there a minimum order quantity for carbon brushes?,General Enquiry,Low,False
Q0411,The invoice for order ORD-36062 has incorrect GST calculation.,Complaint,Medium,False
Q0412,"Order ORD-65392 arrived with wrong items, very disappointed.",Complaint,High,False
Q0413,"Terrible packaging, cable glands were broken when the box was opened",Complaint,High,False
Q0414,Is there a minimum oder quantity for brass connectors?,General Enquiry,Low,False
Q0415,what payment methods do you accept?,General Enquiry,Low,False
Q0416,just checking if you still manufacture stainless steel washers,General Enquiry,Low,False
Q0417,Please confirm price and lead time for 300 PVC pipe fittings.,Quotation,Medium,False
Q0418,I am cancelling future orders unless order ORD-83563 issue is resolved.,Complaint,High,False
Q0419,Coastal Machinery would like a quote for 100 cable glands with payment terms.,Quotation,Medium,False
Q0420,"Extremely unhappy with the service, order ORD-23238 was delivered incomplete.",Complaint,High,False
Q0421,Could you provide bulk pricing if we order 300 M8 hex bolts?,Quotation,High,False
Q0422,"my order ORD-99192 has not arrived yet, please check.",Order Status,Medium,False
Q0423,Do you offer discount for 1000+ units of timing belts?,Quotation,Low,False
Q0424,"We received rusted rubber grommets, need immediate replacement.",Complaint,Medium,False
Q0425,Can you track order ORD-44671 for me?,Order Status,Low,False
Q0426,Is order ORD-37653 delayed? We haven't received any notification,Order Status,High,False
Q0427,Do you provide installation support for control relays?,General Enquiry,Low,False
Q0428,"I want a refund for order ORD-96474, the quality is very poor.",Complaint,High,False
Q0429,do you offer discount for 75+ units of hydraulic seals?,Quotation,Low,False
Q0430,What is the warranty period on PVC pipe fittings?,General Enquiry,Low,False
Q0431,Can I visit your warehouse to see samples of stainless steel washers?,General Enquiry,Low,False
Q0432,Is order ORD-91959 delayed? We haven't received any notification,Order Status,High,False
Q0433,"The PVC pipe fittings I received is damaged, this is unacceptable",Complaint,High,False
Q0434,Your team never responded to my last 3 emails about order ORD-93886.,Complaint,High,False
Q0435,can you send me a quote for 1000 units of solenoid valves?,Quotation,Medium,False
Q0436,The rubber grommets does not match the specifications quoted earlier.,Complaint,High,False
Q0437,Is there a minimum order quantity for timing belts?,General Enquiry,Low,False
Q0438,The aluminium extrusions does not match the specifications quoted earlier.,Complaint,High,False
Q0439,Could you provide bulk pricing if we order 5000 hydraulic seals?,Quotation,Medium,False
Q0440,Can you send me a quote for 75 units of servo motors?,Quotation,Medium,False
Q0441,Order ORD-42325 shows dispatched but tracking is not updating,Order Status,Medium,False
Q0442,do you provide installation support for M8 hex bolts?,General Enquiry,Low,False
Q0443,"Send quotation asap for 50 flange couplings, comparing with another vendor",Quotation,High,False
Q0444,What would be the cost for 50 control relays including GST?,Quotation,Medium,False
Q0445,SS Traders would like a quote for 20 stainless steel washers with payment terms.,Quotation,Medium,False
Q0446,When can I expect delivery of order ORD-65392?,Order Status,Medium,False
Q0447,Can I visit your warehouse to see samples of 3-phase contactors?,General Enquiry,Low,False
Q0448,"Send quotation asap for 1000 timing belts, comparing with another vendor.",Quotation,High,False
Q0449,Do you have a catalogue for control relays?,General Enquiry,Low,False
Q0450,"Terrible packaging, solenoid valves were broken when the box was opened.",Complaint,High,False
Q0451,"Extremely unhappy with the service, order ORD-44718 was delivered incomplete.",Complaint,High,False
Q0452,"We received rusted circuit breakers, need immediate replacement.",Complaint,High,False
Q0453,"Hi, need a formal quotation for 5000 timing belts for our upcoming project",Quotation,Medium,False
Q0454,Do you export solenoid valves outside India?,General Enquiry,Medium,False
Q0455,"Send quotation asap for 100 carbon brushes, comparing with another vendor.",Quotation,High,False
Q0456,The timing belts stopped working within a month of delivery.,Complaint,Medium,False
Q0457,Please confirm price and lead time for 300 carbon brushes.,Quotation,High,False
Q0458,"Please update me on order ORD-70217, it's been a month.",Order Status,Medium,False
Q0459,has order ORD-24621 been shipped yet?,Order Status,Medium,False
Q0460,Do you have a catalogue for M8 hex bolts?,General Enquiry,Low,False
Q0461,"Charged extra amount than quoted for order ORD-23947, please explain.",Complaint,Medium,False
Q0462,Order ORD-36062 shows dispatched but tracking is not updating.,Order Status,Medium,False
Q0463,Can you send me a quote for 1000 units of PVC pipe fittings?,Quotation,Medium,False
Q0464,"Kindly quote your best rate for 20 cable glands, delivery to Chennai.",Quotation,Medium,False
Q0465,"I want a refund for order ORD-75612, the quality is very poor.",Complaint,High,False
Q0466,Do you export brass connectors outside India?,General Enquiry,Medium,False
Q0467,the invoice for order ORD-98696 has incorrect GST calculation.,Complaint,Medium,False
Q0468,"Order ORD-89840 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0469,Do you have a catalogue for aluminium extrusions?,General Enquiry,Low,False
Q0470,"Please update me on order ORD-57819, it's been a month.",Order Status,Medium,False
Q0471,"Charged extra amount than quoted for order ORD-59823, please explain",Complaint,Medium,False
Q0472,"requesting revised quotation, last quote for stainless steel washers has expired.",Quotation,Low,False
Q0473,"extremely unhappy with the service, order ORD-24371 was delivered incomplete",Complaint,High,False
Q0474,Your team never responded to my last 3 emails about order ORD-99353,Complaint,High,False
Q0475,This is the second time we received defective pressure gauges from you,Complaint,High,False
Q0476,what is the warranty period on carbon brushes?,General Enquiry,Low,False
Q0477,"Still waiting for order ORD-55082, any update?",Order Status,Medium,False
Q0478,do you export flange couplings outside India?,General Enquiry,Medium,False
Q0479,When can I expect delivery of oder ORD-12552?,Order Status,Medium,False
Q0480,Just checking if you still manufacture 3-phase contactors.,General Enquiry,Low,False
Q0481,"We are looking to procure 250 flange couplings, kindly send your best quote",Quotation,High,False
Q0482,"Hi, need a formal quotation for 50 pressure gauges for our upcoming project.",Quotation,Medium,False
Q0483,"Order ORD-89131 arrived with wrong items, very disappointed",Complaint,High,False
Q0484,"Terrible packaging, timing belts were broken when the box was opened.",Complaint,High,False
Q0485,Has order ORD-23396 been shipped yet?,Order Status,Medium,False
Q0486,"kindly quote your best rate for 5000 timing belts, delivery to Chennai.",Quotation,Medium,False
Q0487,"my order ORD-26483 has not arrived yet, please check.",Order Status,Medium,False
Q0488,This is the second time we received defective ball bearings (SKF 6205) from you.,Complaint,High,False
Q0489,Could you provide bulk pricing if we order 300 servo motors?,Quotation,Medium,False
Q0490,"Terrible packaging, carbon brushes were broken when the box was opened",Complaint,High,False
Q0491,Just checking if you still manufacture cable glands.,General Enquiry,Low,False
Q0492,The brass connectors does not match the specifications quoted earlier.,Complaint,High,False
Q0493,"Very poor experience, escalating this complaint to your manager",Complaint,High,False
Q0494,this is the second time we received defective conveyor belts from you.,Complaint,High,False
Q0495,What is the warranty period on circuit breakers?,General Enquiry,Low,False
Q0496,Please confirm price and lead time for 2000 hydraulic seals.,Quotation,Low,False
Q0497,i am cancelling future orders unless order ORD-22676 issue is resolved,Complaint,High,False
Q0498,Can you track order ORD-26828 for me?,Order Status,Low,False
Q0499,"I want a refund for order ORD-99192, the quality is very poor",Complaint,High,False
Q0500,"Order ORD-21395 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0501,Do you offer discount for 100+ units of carbon brushes?,Quotation,Low,False
Q0502,"Kindly quote your best rate for 500 control relays, delivery to Chennai.",Quotation,Medium,False
Q0503,Do you export industrial gaskets outside India?,General Enquiry,Medium,False
Q0504,Could you provide bulk pricing if we order 1000 carbon brushes?,Quotation,Medium,False
Q0505,"Requesting revised qutation, last quote for 3-phase contactors has expired",Quotation,Medium,False
Q0506,"Still waiting for order ORD-98696, any update?",Order Status,Medium,False
Q0507,Is order ORD-89131 delayed? We haven't received any notification.,Order Status,High,False
Q0508,"Order ORD-37653 arrived with wrong items, very disappointed.",Complaint,High,False
Q0509,"Hi, need a formal quotation for 500 industrial gaskets for our upcoming project",Quotation,Medium,False
Q0510,"Kindly quote your best rate for 250 hydraulic seals, delivery to Chennai.",Quotation,Medium,False
Q0511,"My order ORD-60019 has not arrived yet, please check",Order Status,Medium,False
Q0512,"I placed an order ORD-25014 3 days back, when will it be delivered?",Order Status,Medium,False
Q0513,"My order ORD-94012 has not arrived yet, pls check.",Order Status,Medium,False
Q0514,Can you track order ORD-44993 for me?,Order Status,Low,False
Q0515,Order ORD-18675 was supposed to arrive 5 days ago.,Order Status,Medium,False
Q0516,"Send quotation asap for 75 pressure gauges, comparing with another vendor.",Quotation,High,False
Q0517,Do you offer discount for 250+ units of brass connectors?,Quotation,Low,False
Q0518,Can you send me a quote for 20 units of flange couplings?,Quotation,Medium,False
Q0519,This is the second time we received defective servo motors from you.,Complaint,High,False
Q0520,"My order ORD-82357 has not arrived yet, please check.",Order Status,High,False
Q0521,"Very poor experience, escalating this complaint to your manager.",Complaint,High,False
Q0522,Do you have a catalogue for ball bearings (SKF 6205)?,General Enquiry,Low,False
Q0523,Please confirm price and lead time for 300 3-phase contactors.,Quotation,Medium,False
Q0524,"I need urgent update on order ORD-83000, production is stalled without it.",Order Status,High,False
Q0525,The timing belts stopped working within 3 days of delivery.,Complaint,High,False
Q0526,"We received rusted control relays, need immediate replacement",Complaint,High,False
Q0527,"Hi, need a formal quotation for 5000 timing belts for our upcoming project.",Quotation,Medium,False
Q0528,What is the warranty period on M8 hex bolts?,General Enquiry,Low,False
Q0529,"the flange couplings I received is damaged, this is unacceptable.",Complaint,High,False
Q0530,can I visit your warehouse to see samples of circuit breakers?,General Enquiry,Low,False
Q0531,The 3-phase contactors stopped working within a week of delivery,Complaint,High,False
Q0532,Kindly share the courier tracking number for order ORD-18675.,Order Status,Low,False
Q0533,What is teh warranty period on stainless steel washers?,General Enquiry,Low,False
Q0534,I am cancelling future orders unless order ORD-26483 issue is resolved.,Complaint,High,False
Q0535,Has order ORD-49117 been shipped yet?,Order Status,Medium,False
Q0536,the invoice for order ORD-84341 has incorrect GST calculation,Complaint,Medium,False
Q0537,"The M8 hex bolts I received is damaged, this is unacceptable.",Complaint,High,False
Q0538,"Requesting price list for brass connectors, quantity around 50 pcs.",Quotation,Medium,False
Q0539,Kindly share the courier tracking number for order ORD-71348.,Order Status,Low,False
Q0540,what is your return policy?,General Enquiry,Low,False
Q0541,"My order ORD-75435 has not arrived yet, please check",Order Status,Medium,False
Q0542,order ORD-96474 was supposed to arrive 5 days ago.,Order Status,Medium,False
Q0543,"The 3-phase contactors I received is damaged, this is unacceptable.",Complaint,High,False
Q0544,Kindly share the courier tracking number for order ORD-97841.,Order Status,Low,False
Q0545,I am cancelling future orders unless order ORD-22676 issue is resolved.,Complaint,High,False
Q0546,Can I visit your warehouse to see samples of carbon brushes?,General Enquiry,Low,False
Q0547,Has order ORD-32431 been shipped yet?,Order Status,Medium,False
Q0548,"my order ORD-42087 has not arrived yet, please check.",Order Status,Medium,False
Q0549,"I placed an order ORD-70589 5 days back, when will it be delivered?",Order Status,Medium,False
Q0550,What is the status of my order ORD-28726?,Order Status,Medium,False
Q0551,Is order ORD-88907 delayed? We haven't received any notification.,Order Status,High,False
Q0552,When can I expect delivery of order ORD-26361?,Order Status,High,False
Q0553,Do you have a catalogue for pressure gauges?,General Enquiry,Low,False
Q0554,Do you have a catalogue for circuit breakers?,General Enquiry,Low,False
Q0555,"Terrible packaging, M8 hex bolts were broken when the box was opened.",Complaint,High,False
Q0556,Kindly share the courier tracking number for order ORD-23396.,Order Status,Low,False
Q0557,"Charged extra amount than quoted for order ORD-28289, please explain.",Complaint,Medium,False
Q0558,Just checking if you still manufacture control relays.,General Enquiry,Low,False
Q0559,Is there a minimum order quantity for rubber grommets?,General Enquiry,Low,False
Q0560,Do you export carbon brushes outside India?,General Enquiry,Medium,False
Q0561,Do you provide installation support for rubber grommets?,General Enquiry,Low,False
Q0562,"Charged extra amount than quoted for order ORD-19358, please explain",Complaint,Medium,False
Q0563,"Requesting revised quotation, last quote for conveyor belts has expired.",Quotation,Medium,False
Q0564,"i placed an order ORD-44671 5 days back, when will it be delivered?",Order Status,Medium,False
Q0565,Please share pricing for 20 hydraulic seals for Sunrise Industries.,Quotation,Medium,False
Q0566,The flange couplings stopped working within 2 weeks of delivery.,Complaint,High,False
Q0567,please confirm price and lead time for 500 pressure gauges,Quotation,Medium,False
Q0568,Your team never responded to my last 3 emails about order ORD-45382.,Complaint,High,False
Q0569,"Requesting price list for ball bearings (SKF 6205), quantity around 500 pcs.",Quotation,Medium,False
Q0570,Do you have a catalogue for flange couplings?,General Enquiry,Low,False
Q0571,Do you provide installation support for 3-phase contactors?,General Enquiry,Low,False
Q0572,Do you have a catalogue for timing belts?,General Enquiry,Low,False
Q0573,Please share pricing for 250 hydraulic seals for Apex Components.,Quotation,Medium,False
Q0574,Do you provide installation support for industrial gaskets?,General Enquiry,Low,False
Q0575,Order ORD-75435 was supposed to arrive 10 days ago.,Order Status,Medium,False
Q0576,What is your return policy?,General Enquiry,Low,False
Q0577,The carbon brushes does not match the specifications quoted earlier,Complaint,High,False
Q0578,"terrible packaging, servo motors were broken when the box was opened",Complaint,High,False
Q0579,Do you have a catalogue for rubber grommets?,General Enquiry,Low,False
Q0580,Please share pricing for 20 3-phase contactors for Precision Tools Co.,Quotation,Medium,False
Q0581,"Order ORD-89507 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0582,"My order ORD-39256 has not arrived yet, please check.",Order Status,Medium,False
Q0583,can I visit your warehouse to see samples of rubber grommets?,General Enquiry,Low,False
Q0584,Can you send me a quote for 300 units of cable glands?,Quotation,Medium,False
Q0585,Could you provide bulk pricing if we order 20 servo motors?,Quotation,Medium,False
Q0586,What is the warranty period on rubber grommets?,General Enquiry,Low,False
Q0587,"Charged extra amount than quoted for order ORD-64987, please explain.",Complaint,Medium,False
Q0588,Precision Tools Co would like a quote for 1000 carbon brushes with payment terms.,Quotation,Medium,False
Q0589,Do you provide installation support for circuit breakers?,General Enquiry,Low,False
Q0590,order ORD-57052 shows dispatched but tracking is not updating.,Order Status,Medium,False
Q0591,"Extremely unhappy with the service, order ORD-37460 was delivered incomplete.",Complaint,High,False
Q0592,What would be the cost for 2000 aluminium extrusions including GST?,Quotation,Medium,False
Q0593,"We are looking to procure 20 aluminium extrusions, kindy send your best quote.",Quotation,Medium,False
Q0594,Could you provide bulk pricing if we order 1000 rubber grommets?,Quotation,Medium,False
Q0595,Can you send me a quote for 1000 units of cable glands?,Quotation,Medium,False
Q0596,"Need quotation urgently, 100 conveyor belts required for a tender submission.",Quotation,High,False
Q0597,Do you offer refunds and also please send quote for replacement units.,Complaint,Medium,True
Q0598,Kindly share the courier tracking number for order ORD-44741.,Order Status,Low,False
Q0599,the solenoid valves does not match the specifications quoted earlier.,Complaint,High,False
Q0600,"my order ORD-46421 has not arrived yet, please check",Order Status,Medium,False
Q0601,"please update me on order ORD-38893, it's been 3 days.",Order Status,Low,False
Q0602,the brass connectors stopped working within 10 days of delivery.,Complaint,High,False
Q0603,"I need urgent update on order ORD-16175, production is stalled without it.",Order Status,High,False
Q0604,What is the warranty period on timing belts?,General Enquiry,Low,False
Q0605,This is teh second time we recieved defective carbon brushes from you,Complaint,High,False
Q0606,"Need qutation urgently, 2000 cable glands required for a tender submission.",Quotation,High,False
Q0607,Precision Tools Co would like a quote for 5000 conveyor belts with payment terms.,Quotation,Medium,False
Q0608,The cable glands does not match the specifications quoted earlier.,Complaint,High,False
Q0609,"We are looking to procure 100 brass connectors, kindly send your best quote.",Quotation,Medium,False
Q0610,do you provide installation support for flange couplings?,General Enquiry,Low,False
Q0611,The rubber grommets stopped working within 10 days of delivery.,Complaint,High,False
Q0612,Please share pricing for 5000 circuit breakers for Balaji Engineering.,Quotation,Medium,False
Q0613,"Hi, need a formal quotation for 250 pressure gauges for our upcoming project",Quotation,Medium,False
Q0614,Could you provide bulk pricing if we order 300 pressure gauges?,Quotation,Medium,False
Q0615,"Kindly quote your best rate for 20 rubber grommets, delivery to Chennai.",Quotation,Medium,False
Q0616,Your team never responded to my last 3 emails about order ORD-25014.,Complaint,High,False
Q0617,Order ORD-51245 shows dispatched but tracking is not updating.,Order Status,Medium,False
Q0618,Do you offer discount for 300+ units of industrial gaskets?,Quotation,Low,False
Q0619,What would be the cost for 250 pressure gauges including GST?,Quotation,Medium,False
Q0620,"Requesting price list for circuit breakers, quantity around 300 pcs.",Quotation,Medium,False
Q0621,"Still waiting for order ORD-46434, any update?",Order Status,Medium,False
Q0622,When can I expect delivery of order ORD-93227?,Order Status,Medium,False
Q0623,Kindly share the courier tracking number for order ORD-89131,Order Status,Low,False
Q0624,I am cancelling future orders unless order ORD-44993 issue is resolved.,Complaint,High,False
Q0625,This is the second time we received defective pressure gauges from you.,Complaint,High,False
Q0626,need help,General Enquiry,Medium,True
Q0627,what is the status of my order ORD-91070?,Order Status,Medium,False
Q0628,Please confirm price and lead time for 20 brass connectors,Quotation,Medium,False
Q0629,Can you send me a quote for 2000 units of stainless steel washers?,Quotation,Medium,False
Q0630,The invoice for order ORD-40512 has incorrect GST calculation.,Complaint,Medium,False
Q0631,"Please update me on order ORD-91959, it's been 2 weeks.",Order Status,Medium,False
Q0632,The stainless steel washers does not match the specifications quoted earlier.,Complaint,High,False
Q0633,vikram Enterprises would like a quote for 2000 circuit breakers with payment terms.,Quotation,Medium,False
Q0634,Do you deliver to Coimbatore?,General Enquiry,Low,False
Q0635,"Please update me on order ORD-20328, it's been yesterday.",Order Status,Medium,False
Q0636,"requesting revised quotation, last quote for carbon brushes has expired",Quotation,Medium,False
Q0637,do you provide installation support for control relays?,General Enquiry,Low,False
Q0638,Can we get a dealership for your products in our region?,General Enquiry,Medium,False
Q0639,do you offer discount for 5000+ units of ball bearings (SKF 6205)?,Quotation,Low,False
Q0640,Could you provide bulk pricing if we order 75 carbon brushes?,Quotation,Medium,False
Q0641,Please confirm price and lead time for 250 hydraulic seals.,Quotation,Medium,False
Q0642,I am cancelling future orders unless order ORD-38893 issue is resolved.,Complaint,High,False
Q0643,The invoice for order ORD-60432 has incorrect GST calculation.,Complaint,Medium,False
Q0644,"Extremely unhappy with the service, order ORD-54597 was delivered incomplete",Complaint,High,False
Q0645,"please update me on order ORD-41571, it's been 10 days.",Order Status,Medium,False
Q0646,Can you send me a quote for 2000 units of rubber grommets?,Quotation,Medium,False
Q0647,What is the status of my order ORD-30926?,Order Status,Medium,False
Q0648,can you share your GST number for our records?,General Enquiry,Low,False
Q0649,"please update me on order ORD-79163, it's been a month.",Order Status,Medium,False
Q0650,"Please update me on order ORD-13478, it's been yesterday",Order Status,Medium,False
Q0651,Do you offer discount for 300+ units of cable glands?,Quotation,Low,False
Q0652,When can I expect delivery of order ORD-31174?,Order Status,Medium,False
Q0653,Can I visit your warehouse to see samples of rubber grommets?,General Enquiry,Low,False
Q0654,when can I expect delivery of order ORD-57819?,Order Status,Medium,False
Q0655,When can I expect delivery of order ORD-18675?,Order Status,Medium,False
Q0656,Do you offer discount for 100+ units of flange couplings?,Quotation,Low,False
Q0657,"Checking if order status page is down, can't track ORD-91823.",Order Status,Low,True
Q0658,Is there a minimum order quantity for servo motors?,General Enquiry,Low,False
Q0659,"I want a refund for order ORD-45093, the quality is very poor.",Complaint,High,False
Q0660,Is there a minimum order quantity for stainless steel washers?,General Enquiry,Low,False
Q0661,"I want a refund for order ORD-10074, the quality is very poor",Complaint,High,False
Q0662,"Order ORD-39256 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0663,Just checking if you still manufacture conveyor belts.,General Enquiry,Low,False
Q0664,Are you open on Saturdays?,General Enquiry,Low,False
Q0665,"Requesting revised quotation, last quote for hydraulic seals has expired.",Quotation,Medium,False
Q0666,"Charged extra amount than quoted for order ORD-81426, please explain.",Complaint,Medium,False
Q0667,"We received rusted hydraulic seals, need immediate replacement.",Complaint,High,False
Q0668,Sunrise Industries would like a quote for 20 timing belts with payment terms.,Quotation,Medium,False
Q0669,The invoice for order ORD-84364 has incorrect GST calculation.,Complaint,Medium,False
Q0670,Just checking if you still manufacture PVC pipe fittings.,General Enquiry,Low,False
Q0671,Order ORD-31174 was supposed to arrive 2 weeks ago.,Order Status,Medium,False
Q0672,"Send quotation asap for 75 stainless steel washers, comparing with another vendor.",Quotation,High,False
Q0673,What is the status of my oder ORD-73699?,Order Status,Medium,False
Q0674,"Terrible packaging, ball bearings (SKF 6205) were broken when the box was opened",Complaint,High,False
Q0675,"hi, need a formal quotation for 75 brass connectors for our upcoming project.",Quotation,Medium,False
Q0676,"Order ORD-80010 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0677,"requesting revised quotation, last quote for solenoid valves has expired",Quotation,Medium,False
Q0678,"i placed an order ORD-80010 3 days back, when will it be delivered?",Order Status,Medium,False
Q0679,The industrial gaskets does not match the specifications quoted earlier.,Complaint,High,False
Q0680,I am cancelling future orders unless order ORD-16175 issue is resolved,Complaint,High,False
Q0681,Order ORD-28301 was supposed to arrive 3 days ago.,Order Status,Medium,False
Q0682,"i placed an order ORD-46463 a month back, when will it be delivered?",Order Status,Medium,False
Q0683,Do you provide installation support for aluminium extrusions?,General Enquiry,Low,False
Q0684,Please confirm price and lead time for 1000 solenoid valves.,Quotation,High,False
Q0685,Can I visit your warehouse to see samples of aluminium extrusions?,General Enquiry,Low,False
Q0686,"Send quotation asap for 2000 cable glands, comparing with another vendor.",Quotation,High,False
Q0687,"Order ORD-36071 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0688,What would be the cost for 500 PVC pipe fittings including GST?,Quotation,Medium,False
Q0689,"Order ORD-41385 arrived with wrong items, very disappointed.",Complaint,High,False
Q0690,When can I expect delivery of order ORD-25014?,Order Status,Medium,False
Q0691,"We are looking to procure 1000 pressure gauges, kindly send your best quote.",Quotation,Medium,False
Q0692,This is the second time we received defective conveyor belts from you.,Complaint,High,False
Q0693,Please share pricing for 100 stainless steel washers for Precision Tools Co.,Quotation,Medium,False
Q0694,do you provide installation support for rubber grommets?,General Enquiry,Low,False
Q0695,Could you provide bulk pricing if we order 75 control relays?,Quotation,Low,False
Q0696,Do you offer discount for 500+ units of conveyor belts?,Quotation,Low,False
Q0697,coastal Machinery would like a quote for 20 rubber grommets with payment terms.,Quotation,Medium,False
Q0698,"Still waiting for order ORD-36071, any update?",Order Status,Low,False
Q0699,This is the second time we received defective hydraulic seals from you.,Complaint,High,False
Q0700,Please confirm price and lead time for 250 circuit breakers.,Quotation,Medium,False
